,url,title,rating,reviews,prep_time,calories_per_serving,ingredients_flat
0,https://www.bigoven.com/recipe/slow-cooker-carnitas-pulled-pork/200555,Slow Cooker Carnitas (Pulled Pork),4.6,120,400,365,"{u'chicken broth': u'473 ml', u'orange peel': u'5 ml', u'bay leaves': u'4', u'minced garlic': u'20 ml', u'ground cumin': u'10 ml', u'ground cinnamon': u'1 ml', u'boneless pork shoulder roast': u'2 kg', u'crumbled dried oregano': u'5 ml', u'ground coriander': u'5 ml', u'Kosher salt': u'10 ml', u'fresh cilantro sprigs': u'0.5 bunch'}"
1,https://www.bigoven.com/recipe/slow-cooker-lasagna/1305668,Slow Cooker Lasagna,4.3,10,300,880,"{u'Italian sausage (I use hot)': u'0.46 kg', u'garlic powder': u'20 ml', u'pepper': u'4 ml', u'granulated sugar': u'4 Tbsp', u'Italian seasoning': u'10 ml', u'Worcestershire sauce': u'4 Tbsp', u'parsley': u'4 Tbsp', u'ground beef': u'0.46 kg', u'shredded mozzarella cheese': u'1892 ml', u'water': u'1182 ml', u'tomato sauce': u'2 (29 oz) can', u'cottage cheese': u'0 ml', u'tomato paste': u'2 (6oz) can', u'onion chopped*': u'2 large', u'grated Parmesan cheese': u'236 ml', u'salt': u'14 ml', u'package regular lasagna noodles': u'2 (8 oz)'}"
2,https://www.bigoven.com/recipe/slow-cooker-chili/255944,Slow Cooker Chili,4.9,14,240,737,"{u'garlic cloves': u'2', u'sour cream': u'', u'bay leaf': u'1', u'ground red pepper': u'1 ml', u'chili powder': u'30 ml', u'TOPPINGS': u'', u'chopped green onion': u'', u'ground beef': u'0.91 kg', u'sugar': u'0.5 TBL', u'-15 oz cans diced tomatoes': u'2', u'medium yellow onion': u'1', u'cans red kidney beans': u'3', u'black pepper': u'2 ml', u'sliced black olives': u'', u'cans tomato sauce': u'2', u'green bell pepper': u'1', u'paprika': u'1 ml', u'salt': u'2 ml', u'shredded cheddar cheese': u'', u'-6 oz can tomato paste': u'1'}"
3,https://www.bigoven.com/recipe/creamy-slow-cooker-tarragon-chicken/390944,Creamy Slow Cooker Tarragon Chicken,3.7,13,360,62,"{u'skinless boneless chicken breasts': u'10 4-oz', u'Dijon mustard': u'147.5 ml', u'shallot': u'2.5 large', u'fat free chicken broth': u'592.5 ml', u'fat free half and half': u'197.5 ml', u'Salt and pepper': u'', u'cornstarch': u'75 ml', u'fresh tarragon': u'147.5 ml', u'baby carrots': u'592.5 ml', u'garlic': u'10 cloves'}"
4,https://www.bigoven.com/recipe/slow-cooker-beef-tacos/190295,Slow-Cooker Beef Tacos,4.2,6,390,582,"{u'vegetable oil': u'1.25 Tablespoon', u'pepper': u'2.5 ml', u'sour cream': u'', u'chili powder': u'1.25 Tablespoon', u'toppings:': u'', u'beef broth': u'591.25 ml', u'flour or corn tortillas': u'', u'tomato sauce': u'1.25 (8-oz.) can', u'tomato paste': u'1.25 (6-oz.) can', u'green bell pepper': u'0.625 medium-size', u'boneless beef chuck roast': u'1.1375 kg', u'salt': u'6.25 ml', u'ground cumin': u'6.25 ml', u'shredded cheddar cheese': u'', u'white onion': u'1.25 small'}"
5,https://www.bigoven.com/recipe/slow-cooker-barbacoa-tacos/736207,Slow Cooker Barbacoa Tacos,NA,NA,45,64,"{u'Garlic powder': u'1/2 tsp', u'Light brown sugar': u'177 ml', u'Low sodium chicken broth': u'2 cup', u'Chili powder': u'2 1/2 tsp', u'Ground black pepper': u'1/4 tsp', u'Onion powder': u'1 tsp', u'Paprika': u'1 tsp', u'Pork Butt': u'3 lbs', u'Tomato paste': u'1 1/2 Tbs', u'Salt': u'3/4 tsp'}"
6,https://www.bigoven.com/recipe/slow-cooker-chicken-and-dumplings/687756,Slow Cooker Chicken and Dumplings,4.2,14,45,494,"{u'butter': u'37.5 ml', u'packages refrigerated biscuit dough': u'2.5 (10 ounce)', u'cans condensed cream of chicken soup': u'2.5 (10.75 ounce)', u'onion finely diced': u'1.25', u'Chicken broth': u'1.25 can', u'Celery': u'2.5', u'Carrots': u'2.5', u'skinless boneless chicken breast halves': u'5'}"
7,https://www.bigoven.com/recipe/kalua-pork-slow-cooker/838907,Kalua Pork (Slow Cooker),4,2,5,422,"{u'Hawaiian Sea Salt': u'18.3333333333333 ml', u'Pork butt roast': u'2.5 kg', u'Liquid Smoke Flavoring': u'12.5 ml'}"
8,https://www.bigoven.com/recipe/slow-cooker-beef-and-barley/235680,Slow-cooker Beef and Barley,5,1,240,508,"{u'Fresh mushrooms': u'0.383333333333333 kg', u'Pearl Barley': u'395 ml', u'Thyme': u'1.66666666666667 sprig', u'Beef chuck': u'0.95 kg', u'Beef broth': u'1576.66666666667 ml', u'Celery': u'6.66666666666667 stalks', u'Carrot': u'10 medium', u'Soy sauce': u'25 ml', u'leeks': u'3.33333333333333 medium'}"
9,https://www.bigoven.com/recipe/slow-cooker-cilantro-lime-chicken/337444,Slow-cooker cilantro lime chicken,4.1,11,360,NA,"{u'Add 4-6 boneless chicken breast halves': u'', u'fresh cilantro': u'147.5 ml', u'One 1.25-oz. package taco seasoning': u'', u'Juice from one lime': u'', u'jalapeno peppers finely chopped (optional)': u'5 Tbsp', u'One 24-ounce jar medium or mild salsa': u''}"
10,https://www.bigoven.com/recipe/slow-cooker-bbq-chicken/815810,Slow Cooker BBQ Chicken,5,5,270,329,"{u'Garlic powder': u'3.33333333333333 ml', u'BBQ Sauce': u'1.66666666666667 bottle', u'Chicken breasts boneless and skinless': u'10 skinless & boneless', u'Brown sugar': u'196.666666666667 ml', u'Vinegar': u'25 ml'}"
11,https://www.bigoven.com/recipe/slow-cooker-baked-ziti/342708,Slow Cooker Baked Ziti,3.5,2,45,723,"{u'Parmesan cheese': u'395 ml', u'Oregano': u'3.33333333333333 ml', u'Onion': u'1.66666666666667 ea', u'Parsley': u'1.66666666666667 ml', u'Ziti pasta': u'1.66666666666667 box', u'Italian sausage': u'0.95 kg', u'Garlic': u'3.33333333333333 cloves', u'Container ricotta cheese': u'1.66666666666667 ea', u'Egg white': u'3.33333333333333 ea', u'Jar spaghetti sauce': u'3.33333333333333 ea', u'Mozzarella': u'788.333333333333 ml'}"
12,https://www.bigoven.com/recipe/slow-cooker-savory-chicken/773505,Slow Cooker Savory Chicken,NA,NA,435,566,"{u'chicken breasts': u'7.5', u'garlic cloves': u'5', u'Onion': u'1.25 large', u'Bay leaves': u'2.5', u'Chicken broth': u'296.25 ml', u'Salt and pepper to taste': u'', u'white wine': u'73.75 ml', u'stewed tomatoes': u'2.5 cans', u'Broccoli': u'1182.5 ml'}"
13,https://www.bigoven.com/recipe/slow-cooker-lasagna/213735,Slow Cooker Lasagna,4.8,6,265,999,"{u'large onion': u'1.66666666666667', u'garlic cloves': u'3.33333333333333', u'16 ounces shredded - part-skim mozzarella cheese': u'1576.66666666667 ml', u'package': u'1.66666666666667', u'dried oregano': u'8.33333333333333 ml', u'ground beef': u'0.75 kg', u'water': u'395 ml', u'grated Parmesan cheese': u'196.666666666667 ml', u'can': u'1.66666666666667', u'salt': u'8.33333333333333 ml'}"
14,https://www.bigoven.com/recipe/slow-cooker-cheesy-tortellini/1290783,Slow Cooker Cheesy Tortellini,NA,NA,480,418,"{u'pepper': u'1.25 ml', u'shredded mozzarella': u'296.25 ml', u'onion': u'1.25 large', u'Italian seasoning': u'0.625 Tbsp', u'minced garlic': u'1.25 Tbsp', u'ground beef': u'0.5625 kg', u'cayenne pepper': u'1.25 ml', u'marinara': u'1 24- oz. jar', u'ground Italian sausage': u'0.5625 kg', u'pkg tortellini': u'0 g', u'salt': u'2.5 ml', u'pkg sliced mushrooms': u'0 g'}"
15,https://www.bigoven.com/recipe/slow-cooker-macaroni-and-cheese/902160,Slow Cooker Macaroni and Cheese,5,1,210,483,"{u'Elbow Macaroni': u'283.75 g', u'pepper': u'1.25 ml', u'shredded sharp cheddar cheese': u'1182.5 ml', u'Eggs': u'2.5', u'milk': u'443.75 ml', u'salt': u'6.25 ml', u'Evaporated milk': u'425 g', u'American cheese': u'5 slices'}"
16,https://www.bigoven.com/recipe/slow-cooker-pork-chops/757466,Slow Cooker Pork Chops,4,5,195,146,"{u'seasoned salt': u'2.5 ml', u'(14-1/2 ounces) chicken broth': u'2.5 can', u'ground mustard': u'5 ml', u'canola oil': u'75 ml', u'all-purpose flour': u'442.5 ml', u'pork loin chops (4 ounces each)': u'10 boneless', u'garlic pepper blend': u'5 ml'}"
17,https://www.bigoven.com/recipe/lasagna-soup-slow-cooker/810429,Lasagna Soup - Slow Cooker,NA,NA,45,176,"{u'crushed tomatoes': u'1.25 (14.5 oz) can', u'garlic cloves': u'3 - 5', u'granulated sugar': u'6.25 ml', u'noodles broken into bite size pieces (6.5 oz)': u'10 lasagna', u'dried basil': u'12.5 ml', u'ricotta cheese': u'283.75 g', u'chopped fresh parsley': u'1.875 Tbsp', u'extra virgin olive oil': u'2.5 Tbsp', u'tomato paste': u'3.125 Tbsp', u'dried oregano': u'5 ml', u'shredded mozzarella cheese (5 oz)': u'370 ml', u'fennel seeds': u'2.5 ml', u'Salt and freshly ground black pepper': u'', u'finely shredded parmesan cheese (2 oz)': u'147.5 ml', u'yellow onion': u'1.25 large', u'dried thyme': u'2.5 ml', u'petite diced tomatoes': u'1.25 (14.5 oz) can', u'low-sodium chicken broth': u'1182.5 ml', u'lean ground beef': u'0.5625 kg', u'dried rosemary': u'2.5 ml'}"
18,https://www.bigoven.com/recipe/slow-cooker-chili-ii/640285,Slow Cooker Chili II,NA,NA,45,271,"{u'dried basil': u'5 ml', u'chili powder': u'8.75 ml', u'diced onion': u'221.25 ml', u'salt': u'6.25 ml', u'hot pepper sauce': u'0.775 ml', u'ground black pepper': u'1.25 ml', u'dried oregano': u'5 ml', u'kidney beans with liquid': u'1.25 (15 ounce) can', u'ground beef': u'0.5625 kg', u'garlic': u'2.5 cloves', u'kidney beans': u'1.25 (15 ounce) can', u'cannellini beans with liquid': u'1.25 (15 ounce) can', u'dried parsley': u'2.5 ml', u'tomato puree': u'2.5 (10.75 ounce) cans', u'diced celery': u'221.25 ml', u'diced green bell pepper': u'221.25 ml'}"
19,https://www.bigoven.com/recipe/slow-cooker-pork-roast/170585,Slow Cooker Pork Roast,4.5,23,540,1354,"{u'olive oil': u'', u'Dijon mustard': u'25 ml', u'Water': u'788.333333333333 ml', u'Garlic': u'1.66666666666667 clove', u'Brown sugar': u'525 ml', u'Cinnamon': u'1.66666666666667 ml', u'Balsamic vinegar': u'25 ml', u'Pork roast': u'3.33333333333333 kg'}"
20,https://www.bigoven.com/recipe/slow-cooker-pot-roast/969816,Slow Cooker Pot Roast,4,1,510,660,"{u'olive oil': u'55 ml', u'Garlic cloves': u'3.75', u'Freshly ground black pepper': u'', u'Thyme': u'2.5 sprigs', u'beef chuck roast': u'2.5 kg', u'onion': u'1.25 medium', u'low-sodium beef broth': u'887.5 ml', u'carrots': u'5 medium', u'Italian parsley leaves': u'147.5 ml', u'ground allspice': u'2.5 ml', u'celery': u'3.75 stalks', u'red wine': u'296.25 ml', u'all-purpose flour': u'98.75 ml', u'tomato paste': u'55 ml', u'Bay leaves': u'3.75', u'Kosher salt': u''}"
21,https://www.bigoven.com/recipe/slow-cooker-chicken-burritos/186028,Slow Cooker Chicken Burritos,5,4,240,519,"{u'Tortillas': u'10', u'Taco Seasoning': u'1.25 envelope', u'Diced Tomatoes with Green Chiles': u'1.25 14.5oz can', u'Salsa': u'', u'Chicken': u'0.5625 kg', u'Sour Cream': u''}"
22,https://www.bigoven.com/recipe/slow-cooker-beef-stroganoff/336807,Slow Cooker Beef Stroganoff,NA,NA,260,581,"{u'butter': u'147.5 ml', u'pepper': u'1.55 ml', u'onion': u'2.5 medium', u'flour': u'147.5 ml', u'portabella mushrooms': u'425 g', u'water': u'887.5 ml', u'beef bouillon': u'25 ml', u'Cooked egg noodles': u'', u'sour cream': u'295 ml', u'salt': u'1.55 ml', u'beef top sirloin steak': u'1.125 kg'}"
23,https://www.bigoven.com/recipe/slow-cooker-chicken-barbecue/183235,Slow Cooker Chicken Barbecue,4.8,36,200,3,"{u'': u'', u'boneless skinless chicken breast halves cut into q': u'7.5', u'Worchestire Sauce': u'37.5 ml', u'c. Italian Dressing': u'0.625', u'good quality BBQ sauce': u'1.25 bottle of', u'c. fresh diced onion': u'0.625', u'c. brown sugar': u'0.3125'}"
